id,name,flavors,race,positive_effects,negative_effects,medical_uses,Rating,Description
242,Biddy Early,"['Sweet', 'Lemon', 'Pine', 'Flowery', 'Diesel']",hybrid,"['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Focused']",['Anxious'],"['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']",4.2,"Biddy Early is a 50/50 hybrid strain bred by Magus Genetics through crossing Early Skunk with Warlock. Drawing a connection between the War on Drugs and the era of witch hunts, its breeders named this strain after a 19th century healer accused of witchcraft. This hybrid healer works its medicinal sorcery by delievering a balanced, dreamy experience that envelopes both mind and body with unencumbered relief. With a sweet aroma similar to that of candy, Biddy Early offers satisfying yields of crystal-coated buds meant for harvest in the great outdoors."
243,Big Band,"['Sweet', 'Citrus', 'Earthy', 'Spicy/Herbal', 'Sage']",hybrid,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly', 'Talkative']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Inflammation']",4.6,"Big Band was created to stabilize the delicious flavor of Bubble Gum with a strong, heavy yielding plant. Chronic, this strain’s second parent, grows massive colas with generous resin production and hybridized sativa effects, making it a natural compliment to Bubble Gum’s indica-dominant qualities. Big Band’s effects are joyful and loud, exhibiting deeply relaxing effects  with an assortment of juicy berries of the palate. "
244,Big Bang,"['Flowery', 'Berry', 'Pungent', 'Sweet', 'Orange', 'Lemon']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Aroused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']",4.1,"Big Bang sprang into existence when Green House Seeds combined Skunk, Northern Lights, and El Niño into one indica that packs the power of the cosmos. Sweet apple with accents of rose and violet bring a rich aromatic experience to this 80% indica, whose sedating effects run most popularly with patients treating pain and sleeplessness. Relief expands and spreads throughout the body, calming stress both physical and mental. Big Bang bursts into flowering, finishing in 8 to 9 weeks indoors or around the end of September in outdoor grows."
245,Big Bud,"['Earthy', 'Pungent', 'Woody', 'Skunk', 'Flowery']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']",3.9,"Developed in the USA before being brought to the Netherlands in the 1980s to survive the War on Drugs, Big Bud is a legend among growers for its high yields in the garden. Preserved to this day by Dutch breeder Sensi Seeds, this indica produces massive buds with very few leaves, unmatched by any other cannabis variety. With an earthy and spicy aroma, Big Bud delivers deeply relaxing full-body effects true to its indica lineage."
247,Big Holy Nina,"['Earthy', 'Pungent', 'Woody', 'Lime', 'Lemon']",hybrid,"['Euphoric', 'Happy', 'Talkative', 'Uplifted', 'Relaxed']",[],"['Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']",4.0,Big Holy Nina from Colorado Seed Inc. is a sativa-dominant cross of S.A.G.E. and Nina Limone (Super Lemon Haze x Rebel God Smoke). This stout sativa blend is infused with energy and will ignite your appetite and brighten your mind. 
248,Big Kush,"['Citrus', 'Lemon', 'Lime', 'Skunk']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Creative', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Cramps', 'Nausea']",4.7,"Big Kush by Dinafem Seeds is a love letter to growers and Kush connoisseurs alike. By combining the generous genetics of Big Skunk with the ever-popular OG Kush, Dinafem has fashioned a strain that exhibits the balanced and flavorful attributes of OG Kush with the fuel-tinged lemon aroma and yield of their Big Bud/Skunk cross. This autoflowering strain finishes in 8 weeks and requires little manicuring due to the conservative number of fan leaves.   "
249,Big Mac,"['Citrus', 'Earthy', 'Pungent', 'Sweet', 'Berry', 'Blueberry']",indica,"['Relaxed', 'Creative', 'Aroused', 'Sleepy', 'Talkative', 'Tingly']","['Dizzy', 'Anxious']","['Depression', 'Insomnia', 'Stress']",5.0,"Big Mac by Federation Seeds is an indica-dominant strain with unique sativa fan leaves and an accelerated grow cycle. This generous cut of Mikado and BC Big Bud develops quickly indoors, growing upwards of six feet tall over its speedy seven week maturation. The large plant produces a healthy yield of fruity mid-sized buds that reek of berry and citrus peel. Big Mac’s effects elevate the mind and relax the body, offering a creative bent to a satisfying sedation. Enjoy Big Mac to stimulate the mind and the appetite while infusing the limbs with a relaxing weighted warmth.   "
250,Big Skunk Korean,"['Flowery', 'Skunk']",hybrid,"['Hungry', 'Creative', 'Energetic', 'Talkative', 'Uplifted']",['Dry Mouth'],"['Depression', 'Lack of Appetite', 'Nausea', 'Fatigue']",4.0,"Big Skunk Korean is supposedly a mix of Big Bud, Skunk #1, and Korean genetics originating in the western U.S., possibly Oregon, though it is unclear when it was created and by whom. It was used by SOMA in many of his breeding projects and is listed as a parent strain for Somativa, Kahuna, Lavender and Somango, among others."
252,Big Smooth,"['Blueberry', 'Earthy', 'Pine', 'Spicy/Herbal', 'Nutty']",hybrid,"['Happy', 'Creative', 'Tingly', 'Giggly', 'Aroused', 'Relaxed', 'Uplifted']",[],"['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']",5.0,"Big Smooth by Exotic Genetix is a flavorful cross of OG Blueberry and Cookies and Cream. This indica-leaning hybrid offers a delicious terpene profile that smells sweet and doughy, like blueberry pancakes. Big Smooth grows bushy, medium-tall plants and has a flowering time of 55-66 days. Enjoy Big Smooth for its delicious flavor and euphoric, middleweight sedation. This strain is a seasoned fit for improving moods and tempering minor aches and pains.      "
253,Big Sur Holy Bud,"['Pine', 'Woody', 'Earthy', 'Menthol']",sativa,"['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused', 'Euphoric', 'Energetic']",[],"['Depression', 'Stress', 'Nausea', 'Fatigue', 'Muscle Spasms']",4.0,"Big Sur Holy Bud is a sativa bred by Bodhi Seeds. This plant has an indica structure, with purple/pink hued buds that offer a blueberry, menthol aroma and effects true to its sativa heritage. This strain can be grown indoors and outdoors."
254,Big White,"['Flowery', 'Diesel', 'Earthy', 'Sweet']",indica,"['Relaxed', 'Uplifted', 'Sleepy', 'Happy', 'Euphoric']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']",4.2,"Big White is an indica-dominant hybrid that combines The White with Big Bud genetics. Bred by La Plata Labs, this strain began as an F1 hybrid created by Eclectic Genetics. La Plata Labs then refined and stabilized the genetics through generations of breeding and phenotype selection. This strain is known to produce large yields of sweet, sugary buds that express themselves in a variety of colors and carry a unique maple syrup flavor.There is another known hybrid by the name of Big White. It is bred by Breeder’s Choice and its lineage is a combination of Power Plant and Chronic genetics."
255,Big Wreck,"['Earthy', 'Pungent', 'Sweet', 'Nutty']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Tingly']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']",4.1,Big Wreck is the ndica-dominant cross of Big Bud and Trainwreck. This chunky combination offers functional relaxation with an uplifted mental buzz that some might describe as creative. This strain becomes very sedative with continuous use and may also stimulate your appetite. 
259,Biochem,"['Spicy/Herbal', 'Skunk', 'Earthy', 'Cheese']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Sleepy', 'Aroused', 'Tingly', 'Happy']",[],"['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']",4.4,"Biochem is the sedating cross of Chemdawg 4 and Sensi Star. This indica-dominant strain offers patients a weighted relaxation with a gentle headiness that infuses the body with a soft and soothing haze. Enjoy Biochem in the evening, as its effects naturally sedate. The aroma and taste are rich with notes of fuel, citrus, and herbaceous greenery, while the appearance is bright green with a peppering of purple entangled in orange pistils. "
261,Birthday Cake Kush,"['Sweet', 'Vanilla', 'Skunk', 'Lemon']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']",4.5,"Birthday Cake Kush, also known as Wedding Cake or just Birthday Cake, is an indica-dominant hybrid with strong body effects and sweet cake-like flavor. As decadent as its Girl Scout Cookies and Cherry Pie parent strains, Birthday Cake Kush buds bloom with a crystalline icing of THC-rich resin. Like any dessert, Birthday Cake Kush is the perfect way to end your day, with deeply relaxing effects that soothe the body without sedating the mind. This indica is preferred by patients treating pain, anxiety, appetite loss, inflammation, and headaches."
263,Black Afghan,"['Pepper', 'Earthy', 'Pungent', 'Pine']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Sleepy', 'Happy']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']",4.6,"Black Afghan is a complex indica-dominant strain with euphoric and relaxing effects. The flowers develop as jade, pine tree-shaped colas with dark green, nearly black sugar leaves. Black Afghan’s terpene profile is an aromatic mixture of pepper, earth, and sage smothered in dark berries, alluding to the strain’s cerebral and physical effects. This strain’s heady, uplifted buzz and relaxing, munchie-inducing body effects make it perfect for a lazy afternoon."
264,Black Betty,"['Berry', 'Sweet', 'Citrus', 'Pungent']",hybrid,"['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted', 'Relaxed']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']",4.5,"Black Betty is a long-lasting sativa-dominant hybrid that stems from East Coast Sour Diesel and AK-47 genetics. With a rich but subtle aroma, Black Betty launches you into soaring euphoria that may be considered too lofty for the novice consumer. Though certainly good for a lazy day, Black Betty is known to induce a forgetfulness so fierce that concentration and productivity can seem impossible for some. As a way of enhancing Black Betty’s flavor, others have bred in Cherry AK-47 for its sweet cherry flavor profile. Black Betty offers growers notable yields following her 64-day flowering cycle, with dense buds that are easy to manicure."
265,Black Bubba,"['Earthy', 'Flowery', 'Pine']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Seizures']",4.5,"Black Bubba is an indica-dominant cross of Bubba Kush and Black Russian. The resulting buds carry a sweet aroma with subtle fruit notes that produce earthy flavors of hash and pine. The relaxing indica effects calm body pains, stimulate the appetite, and are known to sedate the body into a state of couchlock."
266,Black Cherry Cheesecake,"['Berry', 'Sweet', 'Cheese']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted', 'Hungry']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Pain', 'Cramps', 'Nausea', 'Headaches', 'Eye Pressure']",4.5,"Thought to have originated in Southern Oregon from an unknown breeder, Black Cherry Cheesecake is an indica-dominant hybrid that supposedly crosses Black Cherry Soda, Super Silver Haze, and Cheese. These large, pink-tinged purple flowers smell like cherries and sugar, and possess a flavor that is aptly described by the name. Black Cherry Cheesecake leaves users relatively clear-headed while providing strong, sedating body sensations that can make motivation difficult. "
268,Black Cherry Pie,"['Earthy', 'Lavender', 'Plum', 'Berry', 'Sweet']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Insomnia', 'Pain', 'Cramps', 'Lack of Appetite', 'Nausea']",5.0,"Black Cherry Pie is a fruity strain with colorful foliage. Created by Green Mountain Collective, this strain is the genetic offspring of Blackberry Kush and Cherry Pie. These genetics are exhibited in the deep purple hues overlaid by jade green buds with orange hairs, as well as in the pungent woody aroma smeared with tart blackberry. Black Cherry Pie’s physical effects soothe nausea and minor aches and pains while keeping the mind aloof and creative. Its bright mind and semi-sedative effects make it a natural complement for indoor activities and relaxed evenings."
269,Black Cherry Soda,"['Sweet', 'Berry', 'Earthy']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused', 'Hungry']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']",4.3,"Black Cherry Soda is a hybrid strain named after its fruity, soda-like taste and unusually dark purple color. This strain has spawned other favorites like Black Dahlia and Ace of Spades, and despite its intensely indica appearance, its effects reach the mind and body in a balance more characteristic of sativa strains. Black Cherry Soda is a potent medicine that hits without heavy sedation, making it popular among patients treating severe symptoms throughout the day."
271,Black Diamond,"['Earthy', 'Sweet', 'Berry', 'Woody']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",4.4,"Black Diamond is a Northern California strain ideal for patients who need strong medication but still want to be active and sociable. A cross between Blackberry and Diamond OG, its flowers have a glittery trichome covering and purple coloring that make it a beautiful gem to look at. The strain’s aroma is musky and earthy, almost like a deep red wine. Black Diamond is known to cause fits of giggles and is a great strain for hanging out with friends or catching up on TV shows at home. This strain tends to make consumers extremely hungry, making it a good choice for those looking to increase their appetite (just make sure you have some snacks on hand)."
272,Black Diesel,"['Diesel', 'Pungent', 'Earthy']",sativa,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted', 'Hungry', 'Talkative']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']",4.1,"This infamous sativa strain is the proud winner of multiple Cannabis Cups, solidifying its regal position within the cannabis world. Bred using the genetics of NYC Diesel, Black Diesel’s dense purple flowers have not only an impressive appearance, but also an intense, favorable pungence with sour and fruity undertones. Bred by Advanced Seeds, this plant struggles with mold resistance but compensates with a high yield and THC content. Although Black Diesel produces some traditionally indica effects, patients often find this strain to be well-balanced, beginning with an intense sativa onset followed by a heavy-lidded indica lull."
273,Black Domina,"['Pepper', 'Spicy/Herbal', 'Woody', 'Pine']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']",4.2,"Working with four prime examples of Cannabis Afghanica led Sensi Seeds to blend the world's finest indica genetics into a rapid-flowering, crystal-coated hybrid: Black Domina. Combining desirable features from the Northern Lights, Ortega, Hash Plant, and Afghani SA has made this strain equally suited to the needs of commercial growers, connoisseurs, and first-time cultivators. Black Domina delivers a spicy pepper aroma alongside overwhelming relaxation and sleepiness, making this strain ideal for late night use."
274,Black Haze,"['Earthy', 'Pine', 'Flowery']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']",4.4,"Black Haze is a sativa-dominant hybrid that blends Colombian Black, Colombian Gold, and Purple Haze. It is known for its deep purple buds that are so dark they appear almost black. Black Haze has an earthy flavor profile, highlighted by woody notes and complemented with sweet hints of berries and cherries. The effects of Black Haze are relaxing with an elevated mood perfect for unwinding and won’t stop you from staying active."
275,Black Ice,"['Earthy', 'Woody', 'Pine', 'Citrus', 'Sweet']",indica,"['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Tingly']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']",4.1,"A cross between hybrids Black Domina and White Widow, Black Ice is an indica-dominant hybrid that is a reliable sedative. Although this flower has a pleasant aroma, its potency sets it apart from the rest. A product of Moon Seeds, Black Ice offers a high yield with an impressive THC content of up to 24%, making this strain optimal for pain and insomnia relief."
276,Black Jack,"['Sweet', 'Pine', 'Earthy']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted', 'Talkative']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']",4.4,"Black Jack is a marijuana strain that produces hard buds with huge, grape-like calyxes that are completely encrusted with THC. The taste is heavy and flavorful and the strain produces exceptionally long-lasting effects. Because of its high THC levels, Black Jack is popular among medical marijuana patients."
277,Black Label Kush,"['Woody', 'Berry', 'Citrus', 'Earthy']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']",4.1,"This lesser-known strain is a classic indica that provides patients with reliable and lengthy pain and stress relief. The effects transition from light and floaty to the heavy sedation typical of indica plants. Black Label Kush has a strong pungence bordering on the harsh side, but provides a rich medicating experience."
278,Black Lime Special Reserve,"['Lime', 'Citrus', 'Sweet', 'Pepper']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']",4.5,"From Aficionado Seeds comes Black Lime Special Reserve, an indica strain that descends from Woodman Canyon Oil Can, Lime Afghani, Northern Lights, Purple Kush, and Chemdawg Special Reserve. Flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed."
279,Black Magic,['Earthy'],hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted']",[],"['Depression', 'Pain', 'Stress', 'Inflammation']",4.0,"Black Magic by Andromeda Strains is a deep, dark cannabis variety with exclusive genetics. Created from Melvanetics’ own Buckeye Purple and Andromeda’s Cherry Sauce, Black Magic combines top-shelf phenotypes to create a unique strain with an equally unique look. One of the growers at Andromeda Strains noted that Black Magic was created by crossing their two darkest plants, producing the darkest strain they’ve ever seen. Expressing intoxicating pungent and sweet aromas, Black Magic is not a strain to miss.  "
280,Black Magic Kush,"['Berry', 'Earthy', 'Spicy/Herbal', 'Woody']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy', 'Talkative']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Cramps', 'Lack of Appetite']",4.2,"Black Magic Kush (also known simply as Black Magic) is an indica-dominant strain with mysterious and arcane genetics. With jade green foliage and bright orange pistils, Black Magic Kush looks nearly as good as it tastes. Exhibiting a terpene profile soaked in sweetness, berry, and herbaceous overtones, Black Magic Kush delivers a pleasurable variety of flavors, aromas, and effects that help nullify stress and encourage rest. Utilize this strain at the end of the day to make the most of its sleep-inducing qualities.     "
281,Black Mamba,"['Sweet', 'Woody', 'Earthy', 'Grape']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Talkative']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']",4.6,"Black Mamba is named after the deadly African snake (or perhaps the vengeful bride from the movie Kill Bill), so it’s no surprise that this strain is known for being strong (it might just knock less experienced users into nap time). The genetics of this strain are unknown, but its characteristics seem to support the theory that it is a descendent of Granddaddy Purple and maybe Black Domina. These plants produce dark green to purple leaves, but it’s the flowers that appear after about 8 weeks that really give a hint to its supposed heritage. Dark green and dense, these hard nugs have a strong perfumey aroma and a distinctly sweet grape taste that is reminiscent of GDP. Many users report an upbeat feeling that mellows into a state of deep relaxation. Touted for its long-lasting effects, this Black Mamba is one to curl up with, not run away from."
282,Black Russian,"['Citrus', 'Earthy', 'Lemon', 'Berry']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Hungry']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']",4.3,"Black Russian is an 80/20 indica-dominant strain bred by Delicious Seeds, who created this strain by crossing a Black Domina mother with White Russian. Notes of mango and citrus collide with lemon candy to create a medley of sweet tropical aromas that burst from Black Russian’s compact buds. This indica is known for her potency and endurance, making Black Russian the perfect choice for either patients seeking long-lasting symptom relief or anyone in need of deep relaxation of both mind and body."
283,Black Tuna,"['Earthy', 'Woody', 'Pungent', 'Skunk']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Hungry']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",4.5,"Black Tuna is a British Columbian strain created by 5 Star Organic to give patients a potent punch of THC that is ideal for chronic pain relief. This Herijuana and Lamb's Bread cross has gained quite a bit of fame in Canada for both its strong narcotic effect and its whimsical marketing—prepackaged meds were sold in sealed tuna cans. Flowers will be compact, trichome-covered and have a strong smell. Black Tuna doesn’t smell quite like fish, however; the strain’s name comes from the Black Tuna Gang that was famous for smuggling Colombian marijuana into the United States in the 1970s. Given its potency and high THC, this strain may be too much for novice or moderate consumers."
284,Black Velvet,"['Sweet', 'Pine', 'Flowery', 'Citrus']",hybrid,"['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Giggly', 'Euphoric']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Lack of Appetite', 'Nausea', 'Eye Pressure']",3.9,"This 50/50 hybrid strain is a cross of The Black and Burmese Kush that yields a potent flower with both cerebral and physical effects. The flower gets its density and purple-black hue from its Black indica parent but takes on a fruity, citrus aroma thanks to the Burmese sativa. With its high THC levels, Black Velvet is optimal for intermediate to experienced patients and is favored for its well-balanced effects."
285,Black Widow,"['Woody', 'Earthy', 'Sweet', 'Pungent']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']",4.1,"Originally created by legendary breeder Shantibaba when he was co-owner of Green House Seeds, Black Widow was then known as White Widow. When Shantibaba left GHS and found Mr. Nice Seeds, he took the original Brazilian sativa mother and South Indian indica-dominant hybrid father with him to recreate his world renowned White Widow seeds. Because GHS and others were selling seeds with the name White Widow, he changed the name to Black Widow to create a distinction between them. Black Widow is now considered by many to be the only “true” White Widow available in seed form, as Mr. Nice is the lone seed breeder to possess the original parental genetics."
286,Blackberry,"['Berry', 'Sweet', 'Earthy']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']",4.2,"Blackberry is a popular strain known for its balance of an active sativa buzz and the high yields of plants due to its indica side. It was bred in 2009 by Dutch company Nirvana Seeds as a cross between a Black Domina clone from the U.S and their own Raspberry Cough. Flowering happens between 9 and 11 weeks and plants will have a tight leaf structure and frosty buds. Indoor growing is recommended, but be warned, Blackberry plants are pungent. This strain has strong smoke that can have a fuel smell, but it is dominantly fruity."
287,Blackberry Bubble,"['Berry', 'Blueberry', 'Skunk']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Creative']",['Dry Eyes'],"['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']",4.7,"Blackberry Bubble is exclusively produced by Arizona Natural Selections, and is the delectable cross of Sour Bubble and Blackberry Kush. This 80/20 indica-dominant strain offers pain relief and mental ease without anchoring the consumer to the couch. Though, with continued use, this strain can be quite sedative. Expect flavors of bubble gum and blackberry, and a euphoric mental state that lingers."
289,Blackberry Cream,"['Berry', 'Sweet', 'Woody', 'Vanilla']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']",4.8,"Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making."
290,Blackberry Diesel,"['Diesel', 'Pungent', 'Berry', 'Spicy/Herbal']",sativa,"['Relaxed', 'Hungry', 'Happy', 'Talkative', 'Sleepy', 'Energetic', 'Euphoric']","['Dry Mouth', 'Anxious']","['Depression', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches', 'Eye Pressure']",4.1,"Blackberry Diesel is an 80/20 sativa-dominant cross between East Coast Sour Diesel and Plushberry. This sativa mainly takes after its Sour Diesel parent, inheriting that signature fuel aroma and potently blissful cerebral effects. Its tangy flavor is sweetened by the ripe berry flavors of its Plushberry parent. Tinted with lavender and purple hues, Blackberry Diesel is almost as pleasant to the eyes as it is to the nose."
291,Blackberry Dream,"['Chemical', 'Grapefruit', 'Nutty', 'Spicy/Herbal', 'Sweet']",hybrid,"['Relaxed', 'Creative', 'Energetic', 'Uplifted', 'Giggly', 'Happy', 'Talkative']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Seizures', 'Muscle Spasms']",4.2,"Blackberry Dream y Elev8 Seeds is a fruity hybrid cross that might surprise you. Not to be confused with the many Blue Dream “Dream” crosses out there, Blackberry Dream is the offspring of Kimbo Kush and Super Silver Haze. This generous plant produces a massive yield of glittering emerald-colored buds that reek of jam and spice. The strain flowers over 9-10 weeks and generally benefits from a little extra time on the stalk. Mind your dosage while enjoying this strain. The hybrid genetics begin with a heady sativa-dominant bent, but can get heavier on the body with continued consumption.  "
293,Blackberry Hashplant,"['Berry', 'Earthy', 'Nutty', 'Sweet']",indica,"['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']",3.7,"Blackberry Hashplant is an indica strain that’s a harmony of Blackberry Kush and Hashplant Haze. It delivers well-balanced (although not long-lasting) effects whose potency varies among consumers. Blackberry Hashplant’s light green flowers are on the smaller side, with a dry, earthy aroma. This plant’s versatility makes it an excellent candidate for a variety of cerebral and physical medical purposes depending upon the patient’s ailments and response."
294,Blackberry Haze,"['Berry', 'Sweet', 'Lemon', 'Spicy/Herbal']",sativa,"['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Tingly', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']",4.5,"Blackberry Haze, developed by Nebu Hybridz, is a sativa-dominant hybrid cross between Blackberry and Lime Haze. Unlike its sibling strain Blackberry Lime Haze, this phenotype takes after its Blackberry parent with twisting purple calyxes and a sweet berry aroma. Notes of violet, spice, and cocoa can also be detected in this sativa's frost-covered buds. For those days when productivity is paramount, Blackberry Haze offers clear, unencumbered relief that will typically leave your motivation in tact."
295,Blackberry Kush,"['Berry', 'Sweet', 'Earthy']",indica,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']",4.3,"This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects. "
